state,firearm_mortality_rate,gun_reg_pct,poverty_rate,suicide_rate,homicide_rate,accident_mortality_rate,credit_score,median_household_income,gov_party,pop_density,population,mass_shootings_count,mass_shooting_fatalities,mass_shootings_per_10m,gov_party_rep,firearm_mortality_rate_crude,firearm_homicide_rate,firearm_suicide_rate,pct_male,pct_age_15_34,pct_age_65_plus,pct_black,pct_hispanic,pct_white_nh,pct_rural,pct_alcohol_use,pct_binge_alcohol,pct_marijuana_use,pct_cigarette_use,pct_nicotine_vaping,pct_tobacco_any,pct_alcohol_use_disorder,pct_drug_use_disorder,pct_substance_use_disorder,pct_serious_thoughts_suicide,pct_suicide_plans,pct_suicide_attempts,pct_any_mental_illness,pct_major_depressive_episode
Illinois,14.1,0.011436359326854705,11.0,10.5,11.2,53.4,716.0,57574,democrat,229.0,12735249,3.0,15.0,2.3556665440934843,0,13.6,9.1,4.2,49.43779911694411,26.652907342617567,16.05807406313991,14.684758212769196,18.28361006655248,59.84881422778113,11.51212972,52.99,25.5,17.18,14.38,8.73,18.09,11.21,9.4,17.45,5.02,1.24,0.53,22.61,8.01
Indiana,17.3,0.016655141476457205,11.6,15.0,9.7,66.9,707.0,49255,republican,196.0,7011912,2.0,11.0,2.852289076075113,1,17.1,7.3,9.0,49.59614664569579,26.79170340448761,16.05241226448639,10.082296646771043,8.185859152423488,77.34837529227005,27.55639361,46.24,19.67,13.1,17.39,9.43,21.25,8.49,8.42,14.81,5.48,1.72,0.7,23.73,8.69
Iowa,11.2,0.00885134713253816,10.2,18.0,3.6,45.7,726.0,53183,republican,58.0,3246320,0.0,0.0,0.0,1,11.0,2.6,8.1,50.09677508317392,26.34165741119131,17.44367740301808,4.169539415789381,6.801552162020544,84.32112028440844,35.980671980000004,51.39,23.54,10.49,15.02,8.97,18.84,10.07,8.38,16.24,5.87,1.7,0.7,25.72,9.53
Kansas,16.9,0.017812857042295467,10.6,18.4,7.0,53.4,717.0,52205,democrat,37.0,2989188,1.0,3.0,3.345390119323375,0,16.8,5.4,10.7,50.186853924476985,27.217367272450037,16.191386068116934,6.2086215557954665,13.049040816521018,74.49787687653755,25.80184205,52.29,23.87,11.8,14.93,10.27,19.49,10.21,8.1,16.24,5.79,1.69,0.65,23.72,8.97
Kentucky,20.1,0.01785981013982856,14.9,17.7,9.5,87.5,698.0,43740,democrat,117.0,4629682,1.0,5.0,2.1599755663563935,0,20.0,7.6,11.5,49.59780664151965,26.033466018803704,16.70836517377952,8.539568848009885,4.618763108189492,83.2904369969533,41.61952653,42.41,18.62,11.52,19.82,10.55,24.5,9.96,9.61,17.53,5.44,2.02,0.77,25.22,10.95
Louisiana,26.3,0.024949851931594897,17.8,13.7,19.9,79.4,684.0,45047,democrat,107.0,4621500,1.0,3.0,2.1637996321540625,0,25.4,16.1,8.7,49.01012935880355,26.748863182504294,15.854482201502918,32.584067745165434,6.908694756817573,57.16329372475023,26.81374924,47.31,25.22,14.48,20.37,11.54,26.3,11.27,12.17,19.83,5.22,1.48,0.8,22.59,8.2
Maine,10.4,0.01122659968637682,10.6,16.4,1.6,76.9,721.0,49331,democrat,46.0,1421310,1.0,18.0,7.035762782222034,0,11.2,1.1,9.7,49.292460262495815,23.26713408480803,21.30072399244568,1.772568608525947,1.9705141086552973,92.66524345244508,61.34017786,52.82,19.96,23.06,16.43,8.78,20.09,11.52,12.38,20.44,5.24,1.64,0.62,25.76,9.42
Maryland,13.5,0.016476460851926458,9.0,9.2,11.4,44.4,712.0,74551,republican,648.0,6285380,4.0,14.0,6.363974811387696,1,13.0,8.5,4.3,48.684084993591355,25.724214485050993,15.76852996644308,31.287549470017034,11.846385524116943,48.69432198479709,12.80357395,48.46,20.04,14.27,11.38,7.07,15.11,8.87,9.21,15.16,4.82,1.42,0.71,22.29,8.33
Massachusetts,3.7,0.005213309712160811,9.4,8.4,2.7,54.3,729.0,68563,republican,919.0,7169608,0.0,0.0,0.0,1,3.8,1.9,1.9,48.88725787982445,27.4100409662414,16.95884069552438,9.178555908194577,12.691732284533533,70.51273751867217,8.02794416,55.05,23.46,20.79,10.63,7.49,13.77,12.8,11.29,20.03,6.07,1.4,0.56,23.99,8.61
Michigan,14.6,0.006498769433067331,12.6,14.0,8.7,56.8,714.0,49576,democrat,180.0,10155806,4.0,17.0,3.9386337234090525,0,14.4,6.7,7.6,49.58110354002784,26.25390653432006,17.645475301587478,14.196990912283812,5.619074164895592,74.24181235190223,25.43276566,49.57,21.74,19.41,15.9,9.77,19.34,9.78,10.64,18.13,4.96,1.62,0.61,23.16,8.76
