state,year,firearm_mortality_rate,firearm_homicide_rate,firearm_suicide_rate
Minnesota,2024,10.1,2.5,7.3
Mississippi,2019,23.9,12.3,10.3
Mississippi,2020,27.6,16.9,9.4
Mississippi,2021,32.6,19.8,11.3
Mississippi,2022,28.9,17.4,10.2
Mississippi,2023,28.7,16.8,11.0
Mississippi,2024,27.6,16.0,10.6
Missouri,2019,20.4,8.7,11.1
Missouri,2020,23.2,11.1,11.4
Missouri,2021,22.9,9.9,12.1
Missouri,2022,24.1,10.2,13.0
Missouri,2023,21.4,8.5,12.0
Missouri,2024,19.9,7.4,11.8
Montana,2019,19.6,2.2,16.1
Montana,2020,21.9,3.0,17.4
Montana,2021,25.3,2.7,21.6
Montana,2022,24.4,3.5,19.7
Montana,2023,21.8,2.6,18.2
Montana,2024,21.8,2.2,18.7
Nebraska,2019,10.6,2.1,8.0
Nebraska,2020,10.0,2.5,7.1
Nebraska,2021,10.2,2.3,7.4
Nebraska,2022,12.4,2.4,9.4
Nebraska,2023,10.8,1.7,8.3
Nebraska,2024,11.0,2.2,8.6
Nevada,2019,15.9,3.8,11.5
Nevada,2020,17.6,4.7,11.9
Nevada,2021,20.1,6.3,13.1
Nevada,2022,19.4,5.7,13.3
Nevada,2023,19.3,5.8,13.1
Nevada,2024,18.2,5.3,12.6
New Hampshire,2019,11.5,1.5,9.7
New Hampshire,2020,9.3,,8.6
New Hampshire,2021,8.9,,8.0
New Hampshire,2022,11.2,1.3,9.6
New Hampshire,2023,10.2,1.0,8.7
New Hampshire,2024,10.8,0.8,9.5
New Jersey,2019,4.1,2.2,1.9
New Jersey,2020,4.8,2.7,2.0
New Jersey,2021,5.1,3.0,2.1
New Jersey,2022,5.1,2.5,2.5
New Jersey,2023,4.6,2.2,2.3
New Jersey,2024,4.2,1.8,2.4
New Mexico,2019,22.5,7.5,13.5
New Mexico,2020,22.6,7.0,14.3
New Mexico,2021,27.3,10.9,14.4
New Mexico,2022,27.0,10.3,14.5
New Mexico,2023,25.1,10.3,13.4
New Mexico,2024,26.6,9.7,15.0
New York,2019,4.1,1.7,2.3
New York,2020,5.2,2.8,2.3
New York,2021,5.4,3.1,2.2
New York,2022,5.3,2.7,2.5
New York,2023,4.8,2.2,2.5
New York,2024,4.6,1.8,2.6
North Carolina,2019,13.3,5.2,7.4
North Carolina,2020,16.3,7.1,8.4
North Carolina,2021,17.4,8.0,8.7
North Carolina,2022,17.1,7.3,9.3
North Carolina,2023,16.6,6.7,9.2
North Carolina,2024,16.9,6.3,9.8
North Dakota,2019,12.2,1.3,10.4
North Dakota,2020,12.8,2.2,9.9
North Dakota,2021,16.5,2.6,13.1
North Dakota,2022,16.0,2.2,13.4
North Dakota,2023,13.1,2.2,10.8
North Dakota,2024,12.1,1.4,10.3
Ohio,2019,13.5,4.8,8.4
Ohio,2020,15.0,7.0,7.7
Ohio,2021,16.2,7.4,8.4
Ohio,2022,15.6,6.3,8.9
Ohio,2023,15.0,5.9,8.8
Ohio,2024,14.8,4.9,9.5
Oklahoma,2019,18.6,6.2,12.0
Oklahoma,2020,20.8,6.8,13.6
Oklahoma,2021,20.9,6.4,13.8
Oklahoma,2022,19.8,6.0,13.4
Oklahoma,2023,20.1,5.5,14.1
Oklahoma,2024,19.6,5.0,13.8
Oregon,2019,13.4,1.8,11.0
Oregon,2020,13.9,2.6,10.7
Oregon,2021,15.7,3.4,11.9
Oregon,2022,15.5,3.7,11.3
Oregon,2023,15.2,3.2,11.6
Oregon,2024,15.7,2.8,12.4
Pennsylvania,2019,12.0,4.3,7.5
Pennsylvania,2020,13.5,6.1,7.1
Pennsylvania,2021,14.6,6.6,7.7
Pennsylvania,2022,15.0,6.4,8.2
Pennsylvania,2023,13.9,5.3,8.3
Pennsylvania,2024,12.5,3.9,8.3
Rhode Island,2019,4.5,1.1,3.1
Rhode Island,2020,4.9,2.0,2.7
Rhode Island,2021,5.8,2.5,3.3
Rhode Island,2022,3.4,1.3,2.1
Rhode Island,2023,5.3,1.6,3.5
Rhode Island,2024,5.0,1.1,3.8
South Carolina,2019,19.7,8.8,10.3
South Carolina,2020,22.0,10.3,11.0
South Carolina,2021,21.9,10.7,10.5
South Carolina,2022,20.9,9.4,10.8
South Carolina,2023,19.0,8.4,9.9
South Carolina,2024,19.8,7.8,11.4
South Dakota,2019,12.8,1.2,11.1
South Dakota,2020,13.5,2.9,9.9
South Dakota,2021,14.3,2.8,10.9
South Dakota,2022,15.5,3.0,10.9
South Dakota,2023,12.2,1.2,9.7
South Dakota,2024,17.3,3.2,12.7
Tennessee,2019,18.6,6.9,10.9
Tennessee,2020,21.3,9.4,11.1
Tennessee,2021,22.5,10.3,11.7
Tennessee,2022,21.0,8.6,11.8
Tennessee,2023,22.3,9.4,12.3
Tennessee,2024,20.3,8.1,11.5
Texas,2019,12.7,4.5,7.7
Texas,2020,14.2,5.9,7.8
Texas,2021,15.6,6.6,8.6
Texas,2022,15.4,6.1,8.8
Texas,2023,15.0,5.6,8.8
Texas,2024,14.4,4.8,9.1
Utah,2019,12.3,1.6,10.3
Utah,2020,13.1,2.3,10.3
Utah,2021,13.5,2.1,10.9
Utah,2022,13.2,1.4,11.3
Utah,2023,14.3,1.8,12.1
Utah,2024,13.3,1.7,11.1
Vermont,2019,10.7,,9.5
Vermont,2020,11.8,,10.7
Vermont,2021,12.8,,11.4
Vermont,2022,13.0,2.0,10.7
Vermont,2023,12.8,2.2,10.5
Vermont,2024,11.7,1.9,9.4
Virginia,2019,12.0,4.0,7.7
Virginia,2020,13.6,5.1,8.1
Virginia,2021,14.4,5.8,8.2
Virginia,2022,15.2,6.4,8.3
Virginia,2023,14.2,5.4,8.4
Virginia,2024,13.2,4.5,8.4
Washington,2019,11.1,2.2,8.4
Washington,2020,11.2,2.7,8.0
Washington,2021,11.6,3.3,8.0
Washington,2022,13.1,4.0,8.5
Washington,2023,13.5,4.1,8.9
Washington,2024,11.7,3.0,8.3
West Virginia,2019,16.7,4.2,10.9
West Virginia,2020,18.1,4.9,12.3
West Virginia,2021,17.9,4.8,12.7
West Virginia,2022,17.5,4.6,12.6
West Virginia,2023,17.8,3.5,13.8
West Virginia,2024,15.9,3.6,11.5
Wisconsin,2019,10.4,2.6,7.3
Wisconsin,2020,12.2,4.3,7.5
Wisconsin,2021,13.5,4.9,8.2
Wisconsin,2022,14.1,4.7,9.0
Wisconsin,2023,12.9,4.0,8.5
Wisconsin,2024,12.4,3.5,8.6
Wyoming,2019,23.0,2.8,19.7
Wyoming,2020,26.7,3.1,22.2
Wyoming,2021,26.7,1.7,23.6
Wyoming,2022,21.3,2.4,17.9
Wyoming,2023,22.3,1.7,19.9
Wyoming,2024,24.5,1.9,21.1
