state,pct_pop_county_with_trauma,trauma_centers_per_million,pct_counties_with_trauma,centers,counties,counties_with
Alabama,49.25126280520892,2.936301059339121,16.417910447761194,15.0,67.0,11.0
Alaska,63.08170372208573,8.18100751834591,16.666666666666664,6.0,30.0,5.0
Arizona,94.22878284197313,3.9023896619507856,60.0,29.0,15.0,9.0
Arkansas,70.62174922711631,13.038948643492978,41.333333333333336,40.0,75.0,31.0
California,90.63992574090419,1.5911636829310714,55.172413793103445,62.0,58.0,32.0
Colorado,94.14391223643624,8.676996262086119,45.3125,51.0,64.0,29.0
Connecticut,,2.4881288607466154,,9.0,,
Delaware,100.0,4.845477715647985,100.0,5.0,3.0,3.0
Florida,76.88283427962463,1.1498967348505307,29.850746268656714,26.0,67.0,20.0
Georgia,37.42114474568345,1.5413591541818843,9.433962264150944,17.0,159.0,15.0
Hawaii,99.99435594347025,4.877579717072505,80.0,7.0,5.0,4.0
Idaho,64.55877308082654,8.143629187988555,29.545454545454547,16.0,44.0,13.0
Illinois,78.94651413274066,3.745112727494681,18.627450980392158,47.0,102.0,19.0
Indiana,43.0430245465047,2.7687917531974806,13.043478260869565,19.0,92.0,12.0
Iowa,90.78467005342058,29.622663395493117,79.7979797979798,95.0,99.0,79.0
Kansas,68.97280301005323,10.202186940792629,26.666666666666668,30.0,105.0,28.0
Kentucky,31.459093084327222,2.6512575577410753,9.166666666666666,12.0,120.0,11.0
Louisiana,41.637986693191955,2.1863902019984045,12.5,10.0,64.0,8.0
Maine,25.07103850193663,2.8659002294153133,18.75,4.0,16.0,3.0
Maryland,33.11073187456889,1.4562510628610188,25.0,9.0,24.0,6.0
Massachusetts,85.20804199275031,1.9996003655840782,57.14285714285714,14.0,14.0,8.0
Michigan,92.24314282551785,8.069930631474064,62.65060240963856,81.0,83.0,52.0
Minnesota,85.98759305427146,10.979597989862171,55.172413793103445,63.0,87.0,48.0
Mississippi,80.7679040987315,21.430831142059194,63.41463414634146,63.0,82.0,52.0
Missouri,63.073444245109386,4.196150000096834,15.65217391304348,26.0,115.0,18.0
Montana,88.64304050451443,30.89656536124264,53.57142857142857,35.0,56.0,30.0
Nebraska,37.287193202111425,6.0655718646427195,11.827956989247312,12.0,93.0,11.0
Nevada,88.74260529163077,0.9392093610370874,11.76470588235294,3.0,17.0,2.0
New Hampshire,83.84156387699761,6.4191536131989215,60.0,9.0,10.0,6.0
New Jersey,65.69086695165701,0.9686959447481664,42.857142857142854,9.0,21.0,9.0
New Mexico,48.6451999199762,3.310677265248152,15.151515151515152,7.0,33.0,5.0
New York,69.40414433114427,1.6350542551878229,24.193548387096776,32.0,62.0,15.0
North Carolina,44.36977521369359,1.4766289778654238,13.0,16.0,100.0,13.0
North Dakota,49.87052349328891,15.307567295892724,18.867924528301888,12.0,53.0,10.0
Ohio,62.32580614096378,2.7151006687208104,22.727272727272727,32.0,88.0,20.0
Oklahoma,65.82298590170663,9.867226598885399,35.064935064935064,40.0,77.0,27.0
Oregon,74.26100036897422,10.157421129987117,80.55555555555556,43.0,36.0,29.0
Pennsylvania,68.30254990806364,2.5459656743649726,34.32835820895522,33.0,67.0,23.0
Rhode Island,60.277181143141824,0.9124403948312076,20.0,1.0,5.0,1.0
South Carolina,60.89330061756137,2.7914481195409744,23.91304347826087,15.0,46.0,11.0
South Dakota,66.64962504813352,21.75525770190511,27.27272727272727,20.0,66.0,18.0
Tennessee,37.06353858120036,0.7016077622515098,5.263157894736842,5.0,95.0,5.0
Texas,92.69340062572245,7.671300886418818,57.08661417322835,234.0,254.0,145.0
Utah,93.82728439369477,7.314788102292337,55.172413793103445,25.0,29.0,16.0
Vermont,26.17612716691584,1.5444874155165385,7.142857142857142,1.0,14.0,1.0
Virginia,42.49744541401044,1.6062970515958674,10.526315789473683,14.0,133.0,14.0
Washington,94.03037036278555,5.631726072843817,64.1025641025641,44.0,39.0,25.0
West Virginia,47.97039214811157,10.169083613030212,29.09090909090909,18.0,55.0,16.0
Wisconsin,93.09727446749298,18.101981828655436,76.38888888888889,107.0,72.0,55.0
Wyoming,59.76882393328048,17.121616554548613,39.130434782608695,10.0,23.0,9.0
