state,chr_release_year,pct_some_college
Pennsylvania,2022,66.6814533
Pennsylvania,2023,66.93180549
Rhode Island,2019,66.33717903
Rhode Island,2020,66.29213483000001
Rhode Island,2021,66.81361561
Rhode Island,2022,67.97544698
Rhode Island,2023,67.46360935999999
South Carolina,2019,62.08965333
South Carolina,2020,62.44825335
South Carolina,2021,63.17643034
South Carolina,2022,63.915555229999995
South Carolina,2023,64.4166901
South Dakota,2019,68.29337724
South Dakota,2020,68.18534588
South Dakota,2021,68.32394784
South Dakota,2022,68.50032565000001
South Dakota,2023,68.19404197
Tennessee,2019,60.20646137
Tennessee,2020,60.75808102
Tennessee,2021,61.42443425
Tennessee,2022,62.43361777999999
Tennessee,2023,62.96506774
Texas,2019,60.86459136
Texas,2020,61.4188542
Texas,2021,61.99235904
Texas,2022,63.056860179999994
Texas,2023,63.766120179999994
Utah,2019,70.32256609999999
Utah,2020,70.32716283
Utah,2021,70.7481925
Utah,2022,71.50098729999999
Utah,2023,71.59723543999999
Vermont,2019,67.48819476
Vermont,2020,68.3351469
Vermont,2021,68.72525123999999
Vermont,2022,70.48967828
Vermont,2023,70.58894175
Virginia,2019,70.37990358
Virginia,2020,70.67981800999999
Virginia,2021,71.12757639
Virginia,2022,71.80020406999999
Virginia,2023,71.97548114
Washington,2019,70.06775518
Washington,2020,70.71632483
Washington,2021,70.86172109
Washington,2022,71.65356674
Washington,2023,71.83789139
West Virginia,2019,54.659765660000005
West Virginia,2020,55.06161590999999
West Virginia,2021,55.695794590000006
West Virginia,2022,56.506730299999994
West Virginia,2023,56.17363247
Wisconsin,2019,68.8229195
Wisconsin,2020,69.25725014000001
Wisconsin,2021,69.62382964
Wisconsin,2022,69.98596104
Wisconsin,2023,69.98201342
Wyoming,2019,67.10320947
Wyoming,2020,66.87598736
Wyoming,2021,66.52755802
Wyoming,2022,67.2655098
Wyoming,2023,66.85526447
