state,dissimilarity_county
Alabama,0.35830017765740974
Alaska,0.3221751018060584
Arizona,0.14644529555274408
Arkansas,0.5301503375218717
California,0.31493218724137145
Colorado,0.416144503647767
Connecticut,0.15036503376758775
Delaware,0.19826282498589148
Florida,0.3319590342221316
Georgia,0.37080089108893804
Hawaii,0.31091657726445265
Idaho,0.18232179735007215
Illinois,0.39080587740453876
Indiana,0.4704227193431276
Iowa,0.3487991077327988
Kansas,0.33819284999029653
Kentucky,0.4536166352423024
Louisiana,0.26140676139739816
Maine,0.3489549796058345
Maryland,0.426422741561735
Massachusetts,0.2364322702906736
Michigan,0.38720072854029647
Minnesota,0.3564926597277376
Mississippi,0.3185869975909152
Missouri,0.502006100864571
Montana,0.16808944930786346
Nebraska,0.39366720864203636
Nevada,0.3112808910427116
New Hampshire,0.26557241147831134
New Jersey,0.36150376828814823
New Mexico,0.19224813199080304
New York,0.4172672579465581
North Carolina,0.3274003696914742
North Dakota,0.3039077504160653
Ohio,0.4363880423425242
Oklahoma,0.35529739893356377
Oregon,0.37682652631006747
Pennsylvania,0.44696598636721807
Rhode Island,0.3728145922254308
South Carolina,0.26808401292451667
South Dakota,0.38269454163279293
Tennessee,0.5194070628208766
Texas,0.3205973137699616
Utah,0.2238094093316954
Vermont,0.2296133717717218
Virginia,0.34966028191963716
Washington,0.314344870529705
West Virginia,0.33968086250171464
Wisconsin,0.5727916739885709
Wyoming,0.19801627033052924
