state,year,pct_male,pct_age_15_34,pct_age_65_plus,pct_black,pct_hispanic,pct_white_nh
Alabama,2014,48.475216552839264,26.79716095238036,15.31858562923627,26.670812226179912,4.0126043176993305,66.28340886385863
Alabama,2015,48.46347009343119,26.699744562240735,15.701996558871697,26.755236000307324,4.0809276916076715,66.05145461103159
Alabama,2016,48.43427664530297,26.58896232943702,16.109170991184392,26.783093039731863,4.184782519359649,65.83519354716752
Alabama,2017,48.390904530535025,26.429292890984378,16.508155307443293,26.811274072163755,4.278894437851336,65.63639237398854
Alabama,2018,48.35700915932283,26.29423169546008,16.906028013577483,26.82323758061733,4.401009234553404,65.44365188849193
Alabama,2019,48.32617999517112,26.17783541651173,17.349756976669557,26.810623140140567,4.498585462610267,65.29561641128248
Alabama,2020,48.61500628792829,26.15754320863998,17.210818893356418,26.806567109126956,5.267690064755327,64.56541750730942
Alabama,2021,48.568860164977686,26.288457502207756,17.484921926666903,26.755075855678186,5.3901884610662965,64.42099406381303
Alabama,2022,48.55552027699386,26.325256907749324,17.853869102345868,26.702323635276432,5.531461677529113,64.25704235969825
Alabama,2023,48.532221401797955,26.356179582606764,18.250324754897164,26.62784615661682,5.685540165857944,64.10469831659903
Alaska,2014,52.36834786147949,30.56730997523997,9.497540955805041,3.6404707797713938,6.662008615134145,61.98500830987349
Alaska,2015,52.370028303292116,30.47424942106903,10.02870955947077,3.6396137751716484,6.822583047817667,61.58132795254797
Alaska,2016,52.33572366427634,30.34238965761034,10.544254789078543,3.687169646163687,6.98043968622698,61.08500824832509
Alaska,2017,52.226029477059534,29.96546479473888,11.16665294615396,3.720598178365765,7.153335501624193,60.46940348159134
Alaska,2018,52.170985468841636,29.55021829318621,11.821906427159583,3.734198179804079,7.245080258042094,60.125790091009804
Alaska,2019,52.18258376805983,29.277143086928486,12.479910796438947,3.694232439071269,7.30940304224492,59.84599299621185
Alaska,2020,52.55196708160291,28.744522241201476,12.803357327235718,3.6704394758814893,6.891470795291446,59.83063288237894
Alaska,2021,52.55843129144142,28.645722068842588,13.347384692001746,3.6658262158076425,7.094756865685249,59.5141259696594
